,Akun,Konten,Lokasi
210,HansjayaHans,"@Mdy_Asmara1701 Tuh.. dengar yak @PDI_Perjuangan , kalo @puanmaharani_ri lebih layak sebagai bacapres menurut kaum kadrun.. 🙄

Berani Terima tantangan dari kadrun..? 😊😅😂🤣

Tuh bocil.. Gw panas²in PDIP biar WanAibon mulus jalannya.. 😌",Jakarta
211,Evadri65,Ngak masalah puan Maharani ikut jadi capres. Biar ada lawan ANIES. Kalau utk menang insya Allah Ngak mungkin. Presiden RI pilihan rakyat Indonesia tetap ANIES BASWEDAN,
212,yhendarsyah,@AyahKami3 @puanmaharani_ri Bertanding dengan rasa hormat dan Hidmat . Penuh fair play,jakarta
213,yhendarsyah,@dea29808 @puanmaharani_ri Ada momen ketemu konstituen nya,jakarta
214,yhendarsyah,@Zia1111 @puanmaharani_ri Berlatih lebih keras dan lebih cerdas bermain tuntas,jakarta
215,yhendarsyah,@ayukhanny @puanmaharani_ri Harus diperbanyak lagi,jakarta
216,yhendarsyah,@muhammadd_deni @puanmaharani_ri Harus dan harus,jakarta
217,jekseparoe,@puanmaharani_ri Mohon kalau ibu berkuasa nanti pengajian jangan dilarang.,
218,yhendarsyah,@acikcika6 @puanmaharani_ri Selamat berjuang adik2 timnas u 20,jakarta
219,yhendarsyah,@AldainSatu @puanmaharani_ri Pasti lebih baik lagi apalagi ketum pas nya baru,jakarta
220,yhendarsyah,"@pusppitasari18 @puanmaharani_ri Damai , aman dan nyaman",jakarta
221,yhendarsyah,@Nesyaagustin8 @puanmaharani_ri Pastinya dong,jakarta
222,yhendarsyah,@Putraahmad22 @puanmaharani_ri Kita doakan saja,jakarta
223,HusainMechmari6,@arvindonoviar @PDI_Perjuangan @puanmaharani_ri @budimandjatmiko @ganjarpranowo @gibran_tweet Gua nggak ada pilihan di atas,
224,firmaansyah_ari,@puanmaharani_ri Sukses terus buat KAI indonesia,
225,artisindo8,@puanmaharani_ri Skrng KAI fasilitas nya sudah tambah bagus aja,
226,AurelTritania,@puanmaharani_ri KAI semakin maju kedepan nya,
227,azkaayulutfiah,@puanmaharani_ri Siap ikut meramaikan tradisi mudik di indonesia,
228,muhammadd_deni,@puanmaharani_ri Alternatif mudik yg praktis naik KAI,bandung
229,ayukhanny,@puanmaharani_ri Senang nya ya yang bisa kumpul bareng sama keluarga,
230,PertamaPpratama,@puanmaharani_ri pasti mudik kangen dengan kampung halaman,
231,RitasariiSari,@puanmaharani_ri Love buat mbak puan,
232,RitasariiSari,@AfifahKirana2 @puanmaharani_ri Pantang menyerah dan terus berjuang higa akhir,
233,RitasariiSari,@AurelTritania @puanmaharani_ri maju terus Mbak Puan...saya mendukung Mbak Puan 💪👍👍,
234,RitasariiSari,"@firmaansyah_ari @puanmaharani_ri Insya Allah Mbak Puan Presiden RI 2024, aamiin.",
235,RitasariiSari,@DedigDedigt @puanmaharani_ri Bismillah 2024🙌🙌,
236,RitasariiSari,"@azkaayulutfiah @puanmaharani_ri PDIP Partaiku,,Mbak Puan Maharani Presidenku...",
237,RitasariiSari,@muhammadd_deni @puanmaharani_ri tunjukan pada dunia,
238,RitasariiSari,@ayukhanny @puanmaharani_ri Semangat💪💪💪,
239,RitasariiSari,@PertamaPpratama @puanmaharani_ri pastinya bangga dan berharap timnas Indonesia juara,
240,RitasariiSari,@marufali6797 @puanmaharani_ri dukung dan doa terbaik buat timnas,
241,RitasariiSari,@puanmaharani_ri Semangat 👍🏼⚽️,
242,urintubator,@yourkwanim rekues cosplay puan maharani,"Surakarta, Jawa Tengah"
243,sabronaiditnusa,@puanmaharani_ri puan maharani sing sabar gih..pangapunten saestu lhe nek dados presiden niku radi gampang gih gampang..nek angel gih angel saestu lho,
244,PertamaPpratama,@tri910721 @Zia1111 @puanmaharani_ri pastinya dong semangat untuk  jadi juara,
245,PertamaPpratama,@dita16577 @Ernasusi13 @puanmaharani_ri ku yakin Indonesia juara,
246,PertamaPpratama,@AfifahKirana2 @puanmaharani_ri tekad untuk menang semangat,
247,PertamaPpratama,@AurelTritania @puanmaharani_ri bismillah insyaallah Indonesia menang,
248,PertamaPpratama,@firmaansyah_ari @puanmaharani_ri jangan pernah menyerah para atlet-atlet muda Indonesia,
249,PertamaPpratama,@artisindo8 @puanmaharani_ri Presiden RI 1 2024,
250,PertamaPpratama,@RitasariiSari @puanmaharani_ri lanjutkan Bu Puan Maharani,
251,PertamaPpratama,@muhammadd_deni @puanmaharani_ri semangat semoga berhasil,
252,PertamaPpratama,@ayukhanny @puanmaharani_ri Bersama yakin bisa raih kejayaan bersama Timnas Indonesia generasi penerus  bangsa,
253,PertamaPpratama,@puanmaharani_ri semangat atlet-atlet muda timnas Indonesia,
254,ayukhanny,@AfifahKirana2 @puanmaharani_ri Kemenangan akan hadir,
255,ayukhanny,@AurelTritania @puanmaharani_ri Optimis bisa meraih kemenangan,
256,ayukhanny,@firmaansyah_ari @puanmaharani_ri Mari bersama-sama kawal Timnas Indonesia jadi juara,
257,ayukhanny,@artisindo8 @puanmaharani_ri Bu Puan pastinya selalu terdepan mendukung generasi muda,
258,ayukhanny,@muhammadd_deni @puanmaharani_ri kita dukung terus beri semangat untuk para atlet-atlet muda Indonesia,
259,ayukhanny,@azkaayulutfiah @puanmaharani_ri ikut memberi motifasi semangat bermain,
260,ayukhanny,"@RitasariiSari @puanmaharani_ri yups, bukan hanya laki-laki yang suka, perempuan juga suka dengan sepak bola",
261,ayukhanny,"@DedigDedigt @puanmaharani_ri foto nya keren banget ya, jadi motifasi buat semangat bermain bola",
262,ayukhanny,@PertamaPpratama @puanmaharani_ri semangat untuk mengharumkan nama bangsa,
263,ayukhanny,@puanmaharani_ri aamiin semangat untuk juara,
264,muhammadd_deni,@Eltiga8 @puanmaharani_ri Semangat para atlet-atlet muda Indonesia,bandung
265,muhammadd_deni,@AfifahKirana2 @puanmaharani_ri merdeka semangat untuk para atlet-atlet,bandung
266,muhammadd_deni,@KynanPutri4 @puanmaharani_ri insyaallah aamiin Bu Puan Maharani presiden RI 1,bandung
267,muhammadd_deni,@DedigDedigt @puanmaharani_ri 5 tahun yang lalu foto nya,bandung
268,muhammadd_deni,@artisindo8 @puanmaharani_ri bawa harum nama bangsa,bandung
269,muhammadd_deni,@azkaayulutfiah @puanmaharani_ri Bu Puan memang the best,bandung
270,muhammadd_deni,@RitasariiSari @puanmaharani_ri capres RI 1 Bu Puan Maharani,bandung
271,muhammadd_deni,@PertamaPpratama @puanmaharani_ri Semangat para atlet-atlet Indonesia buktikan kalian bisa,bandung
272,muhammadd_deni,@ayukhanny @puanmaharani_ri bukti klu Indonesia terbaik,bandung
273,muhammadd_deni,@puanmaharani_ri Bersama garuda Indonesia juara,bandung
274,azkaayulutfiah,@jipanaraya @puanmaharani_ri bismillah Indonesia juara,
275,azkaayulutfiah,@ShofwanZuhri @puanmaharani_ri buktikan pada dunia Indonesia bisa,
276,azkaayulutfiah,@rafaanandaaa @puanmaharani_ri bismillah semoga Indonesia juara,
277,azkaayulutfiah,@NinoWiyu @puanmaharani_ri garuda didadaku,
278,azkaayulutfiah,@TominHino @puanmaharani_ri Good job,
279,yhendarsyah,@NenesKanza @puanmaharani_ri Bisa lolos babak penyisihan aja dah bangga banget,jakarta
280,azkaayulutfiah,@DedigDedigt @puanmaharani_ri Iya benar,
281,azkaayulutfiah,"@ayukhanny @puanmaharani_ri siap dukung Indonesia jadi juara, Bu Puan jadi presiden RI 1 2024",
282,azkaayulutfiah,@muhammadd_deni @puanmaharani_ri ikut bangga Indonesia jadi tuan rumah,
283,azkaayulutfiah,@PertamaPpratama @puanmaharani_ri Indonesia pasti menang,
284,azkaayulutfiah,@puanmaharani_ri pastinya semangat meraih kemenangan,
285,yhendarsyah,@AfifahKirana2 @puanmaharani_ri Tetap semangat pantang menyerah,jakarta
286,yhendarsyah,@tri910721 @puanmaharani_ri Perjuangan yang penuh kerja keras,jakarta
287,Riau24Com,"Soal Kunjungan Politisi PDI Perjuangan Puan Maharani, Ini Kata Petinggi PAN https://t.co/ENBAIp72Oq",Pekanbaru
288,yhendarsyah,@DedigDedigt @puanmaharani_ri 5 years a go,jakarta
289,yhendarsyah,@KynanPutri4 @puanmaharani_ri Semoga bisa membawa perubahan sepakbola kita,jakarta
290,AdnanAgam1,@salmanbestu @puanmaharani_ri Amiin Allahuma amiin,
291,yhendarsyah,@marufali6797 @puanmaharani_ri Semoga saja ya.,jakarta
292,yhendarsyah,"@viviyo17 @puanmaharani_ri Semoga , perlu berbenah di segala lini",jakarta
293,yhendarsyah,@annisaratna0 @puanmaharani_ri Semoga saja. Secara permainan bisa mengimbangi,jakarta
294,AdnanAgam1,@Zia1111 @puanmaharani_ri Optimis banget pasti menang,
295,yhendarsyah,@puanmaharani_ri Saat ini ada  pemain yang  masuk timnas gak ?,jakarta
296,AdnanAgam1,@luluksaru251 @puanmaharani_ri aa Bangga banget jadi bagian anak Indonesia,
297,PUANnews,"#RUU PPRT Tertahan di Meja Puan Ketua Panja Membingungkan - https://t.co/wMuBRTjxPX 
#PuanMaharani

https://t.co/HOUsrTcOYw","Gatakrejo, Nguter, Sukoharjo"
298,PUANnews,"#Ratusan Pedagang Korban Kebakaran Pasar Cik Puan akan Ditempatkan di Bangunan Ini... - RiauSky 
#PuanMaharani

https://t.co/ZMUVhcNJhQ","Gatakrejo, Nguter, Sukoharjo"
299,AdnanAgam1,@aL_moert @puanmaharani_ri Insyaallah mbak puan the next presiden di 2024,
300,AdnanAgam1,@ubinhasnanto1 @puanmaharani_ri @PDI_Perjuangan mbak puan lah juaranya menjadi presiden,
301,AdnanAgam1,@dita16577 @puanmaharani_ri Timnas berikan permainan terbaik untuk Indonesia,
302,AdnanAgam1,@PutraPujangga91 @puanmaharani_ri Dukung Timnas U -20 untuk menjadi juara FIFA,
303,AdnanAgam1,@fadilahmaad67 @puanmaharani_ri suport terus mbak puan dan dukung terus Timnas Indonesia,
304,jipanaraya,"@puanmaharani_ri Masya Allah, keren Ibu Puan",Indonesia 
305,AdnanAgam1,@pusppitasari18 @puanmaharani_ri Insyaallah pasti menang atlet atlet Indonesia,
306,AdnanAgam1,@puanmaharani_ri Menghangatkan atlet atlet generasi muda agar menjadi juara,
307,AdnanAgam1,@puanmaharani_ri Mbak puan memang perempuan terbaik,
308,KynanPutri4,@RitasariiSari @puanmaharani_ri mbak puan mewakili perempuan yg pencinta bola,
309,KynanPutri4,@Zia1111 @puanmaharani_ri yang pasti Optimislah untuk menang,
310,KynanPutri4,@aL_moert @puanmaharani_ri mbak puan sosok perempuan yang sangat luar biasa,
311,KynanPutri4,@AbdulSoleh_H @puanmaharani_ri Hebat mbak puan,
312,AurelTritania,@NenesKanza @puanmaharani_ri Indonesia juara,
313,KynanPutri4,@fadilahmaad67 @puanmaharani_ri Semangat dan sukses terus,
314,AurelTritania,@artisindo8 @puanmaharani_ri Presiden kita 2024 Bu Puan Maharani,
315,AurelTritania,"@firmaansyah_ari @puanmaharani_ri Indonesia the best, Bu Puan the best",
316,KynanPutri4,@PutraPujangga91 @puanmaharani_ri meri kita dukung terus Timnas Indonesia,
317,AurelTritania,@azkaayulutfiah @puanmaharani_ri pastinya Bu Puan terdepan memberi semangat,
318,AurelTritania,@DedigDedigt @puanmaharani_ri semoga sukses selalu Indonesia ku,
319,AurelTritania,@muhammadd_deni @puanmaharani_ri selalu doa kan yang terbaik buat mengharumkan nama bangsa,
320,AurelTritania,@PertamaPpratama @puanmaharani_ri yakin Indonesia juara,
321,KynanPutri4,"@salmanbestu @puanmaharani_ri bismilah,,PDI P Usung mbak puan jadi presiden",
322,AurelTritania,@ayukhanny @puanmaharani_ri kita yakinkan para atlet-atlet muda Indonesia pasti juara nya,
323,AurelTritania,@RitasariiSari @puanmaharani_ri Kami ada untuk Timnas Indonesia,
324,AurelTritania,"@puanmaharani_ri Satu kata untuk timnas Indonesia, JUARA!",
325,KynanPutri4,@Nesyaagustin8 @puanmaharani_ri Timnas Indonesia tunjukkan permainan terbaik kalian,
326,KynanPutri4,@pusppitasari18 @puanmaharani_ri Indonesia Piala Dunia menang,
327,KynanPutri4,@puanmaharani_ri Semangatnya Piala Dunia U- 20 sampe ke Nusantara,
328,artisindo8,@AurelTritania @puanmaharani_ri Ayo semangat timnas,
329,artisindo8,@muhammadd_deni @puanmaharani_ri aamiin timnas juara,
330,artisindo8,@Putraahmad22 @puanmaharani_ri asal ada tekad dan kemauan apa yang tidak mungkin,
331,KynanPutri4,@puanmaharani_ri Suport dan dukung terus mbak puan RI 1 di 2024,
332,AldainSatu,@puanmaharani_ri Semoga stok tiket tahun ini banyak dan kebagian untuk semua rakyat Indonesia yang pengen mudik,
333,artisindo8,@azkaayulutfiah @puanmaharani_ri presiden RI 1 2024 Bu Puan Maharani,
334,AldainSatu,@mangkuto78 @puanmaharani_ri Mudik dengan kereta nikmatnya perjalanan menuju desa,
335,artisindo8,"@DedigDedigt @puanmaharani_ri foto 5 tahun yang lalu, tak ada yang berubah dari bu Puan",
336,artisindo8,@RitasariiSari @puanmaharani_ri Garuda didada ku,
337,artisindo8,@pusppitasari18 @puanmaharani_ri semoga acaranya berjalan dengan lancar,
338,artisindo8,@PertamaPpratama @puanmaharani_ri insyaAllah Indonesia juara,
339,artisindo8,@ayukhanny @puanmaharani_ri Indonesia maju Indonesia bisa Indonesia juara,
340,artisindo8,@puanmaharani_ri ikut merasa bangga Indonesia jadi tuan rumah piala Dunia FIFA U-20,
341,AfifahKirana2,@Zia1111 @puanmaharani_ri Optimis Timnas bisa juara,
342,firmaansyah_ari,@NenesKanza @puanmaharani_ri yakin Indonesia juara,
343,AfifahKirana2,@tri910721 @puanmaharani_ri Bisa yok bisa kawal Timnas menjadi juara,
344,firmaansyah_ari,@salmanbestu @puanmaharani_ri Bu Puan maharani Maharani presiden RI 1 2024,
345,firmaansyah_ari,"@Putraahmad22 @puanmaharani_ri garuda didadaku, ku yakin pasti menang",
346,firmaansyah_ari,@pusppitasari18 @puanmaharani_ri bismillah insyaallah Indonesia menang,
347,firmaansyah_ari,@artisindo8 @puanmaharani_ri beri dukungan semangat untuk  timnas,
348,AfifahKirana2,@PutraPujangga91 @puanmaharani_ri Dukung dn suport terus Timnas Indonesia,
349,firmaansyah_ari,@DedigDedigt @puanmaharani_ri foto lama bersemi kembali,
350,firmaansyah_ari,@RitasariiSari @puanmaharani_ri Ibu Puan Maharani presiden RI 2024,
351,firmaansyah_ari,@muhammadd_deni @puanmaharani_ri SEMANGAT meraih kemenangan,
352,AfifahKirana2,@Zia1111 @fadilahmaad67 @puanmaharani_ri Jangan pantang menyerah sebelum berjuang,
353,firmaansyah_ari,@ayukhanny @puanmaharani_ri jangan pernah menyerah para atlet-atlet muda Indonesia,
354,firmaansyah_ari,@PertamaPpratama @puanmaharani_ri Bismillah Indonesia juara,
355,jaka_pantura01,@bengkeldodo @papariezky @aniesbaswedan @ganjarpranowo @AgusYudhoyono @KhofifahIP @erickthohir @ridwankamil @aheryawan @puanmaharani_ri dia masa laluku..masa depan Insya Allah pilih @aniesbaswedan 🙏🙏,
356,AfifahKirana2,@Nesyaagustin8 @puanmaharani_ri Timnas Indonesia luar biasa,
357,firmaansyah_ari,@puanmaharani_ri Semoga membawa harum nama bangsa,
358,AfifahKirana2,@salmanbestu @puanmaharani_ri mbak puan presiden di 2024,
359,AfifahKirana2,"@viviyo17 @puanmaharani_ri kl ada perempuan,,insyaallah semua pekerjaan akan beres",
360,dhatuputra,Yuk ibundanya diajak pengajian 🫶🏽 @puanmaharani_ri,"Surakarta, Jawa Tengah"
361,AfifahKirana2,@pusppitasari18 @puanmaharani_ri Menang kalah hal biasa yang penting tunjukkan permainan yg terbaik,
362,AfifahKirana2,@AbdulSoleh_H @puanmaharani_ri Keren mbak puan,
363,AldainSatu,@marufali6797 @puanmaharani_ri Pastinya kalau hari mudik tiba hari bahagia,
364,AldainSatu,@Hakimalahmad1 @puanmaharani_ri Kendaraan mudik apa aja nih hayoo,
365,firmaansyah_ari,@puanmaharani_ri Ojo Pedhot Oyot (Jangan Putus Akar),
366,AfifahKirana2,@puanmaharani_ri Atlet atlet muda Indonesia teruslah berprestasi lebih tinggi,
367,Denigz0,"VIRAL BOKEP KEBAYA MERAH, FULL DURASI *CEK LINK* DI *BIO* FUL DURASI 16 MENIT BAWAHNYA PINK COY🥰🤤

Video full ada di *bio* profil atau di komentar tweet

#SANGEE_AAAAAAAAA
#Kebayarmerahfull
#kebayamerah
#sange_aaaaaaaaa https://t.co/QnviLgwIKZ","Banten, Indonesia"
368,artisindo8,@puanmaharani_ri Mantap Mbak Puan sukses selalu 👍👍👍,
369,AldainSatu,@DanaPensiun22 @puanmaharani_ri sebulan sebelum ramadhan artinya sudah dekat kereta akan habis 😂😂😂😂,
370,AurelTritania,@puanmaharani_ri Semangat membangun bangsa ya mbak puan,
371,AldainSatu,@Safitridede1 @puanmaharani_ri saya belum pernah naik kereta😢,
372,AldainSatu,@PdipSolid @puanmaharani_ri Kalau musim mudik pasti sering belanja,
373,AfifahKirana2,"@puanmaharani_ri Garuda di dadaku,,Timnas U 20 teruslah semangat",
374,azkaayulutfiah,@puanmaharani_ri keren mbak puan ikut serta juga ya,
375,AldainSatu,@PdipSolid @puanmaharani_ri Lancar banget malah sehari PP 😂,
376,AldainSatu,@marufali6797 @puanmaharani_ri Kali ini mudik pasti lebih asik karna ada Bu puan yang perhatiin dari jauh2 hari,
377,AldainSatu,@puanmaharani_ri sejak tahun 2017 sangat lama sekali,
378,muhammadd_deni,@puanmaharani_ri maju terus sepak bola indonesia,bandung
379,AldainSatu,@puanmaharani_ri @KAI121 Semoga mudik tahun ini aman terkendali,
380,ayukhanny,@puanmaharani_ri mencari bakat generasi penerus bangsa di usia dini,
381,dea29808,@viviyo17 @puanmaharani_ri Mbak puan mah sosok perempuan terbaik,
382,AldainSatu,@puanmaharani_ri sangat hebat sudah dari jauh hari,
383,dea29808,@annisaratna0 @puanmaharani_ri Timnas U - 20 terbanglah tinggi garuda ku,
384,PertamaPpratama,@puanmaharani_ri Terus kasih suport ya mbak puan sepak bola indonesia,
385,RitasariiSari,@puanmaharani_ri ternyata mbak puan pencinta sepak bola juga,
386,KAPLAK_DENGKLAK,"@asboedionoid @bengkeldodo @aniesbaswedan @ganjarpranowo @AgusYudhoyono @KhofifahIP @erickthohir @ridwankamil @aheryawan @puanmaharani_ri Inyong baelah sing dadi Prengsingden 🙈🙈🙈.
Engko yu @CutSarina5 dadi Wangpres ya panglimane yoh @kiwalipitu @Rahim19752 @choymarkochoy @NediSetiadi @MYNasution2 ...
Inyong prengsingden dijamin TERKUCLUKEUN 100%🤣🤣🤣
#PocutGoBatavia 
#earthquake 
#BadaiPerubahanDanKarma https://t.co/EReKfLHEIW",
387,dea29808,@Ernasusi13 @puanmaharani_ri Pasti moment yg ada cerita nya,
388,dea29808,"@AbdulSoleh_H @puanmaharani_ri Luv banget mbak puan,,kami padamu",
389,dea29808,@NenesKanza @puanmaharani_ri Bismilah Indonesia menang di Piala Dunia U - 20,
390,DedekIak,@viviyo17 @puanmaharani_ri Ibu Puan selalu mendukung para generasi muda dalam hal positif,
391,dea29808,@fadilahmaad67 @puanmaharani_ri Luar biasa lanjutkan,
392,DedekIak,@puanmaharani_ri Aamiin para atlet-atlet pasti bisa bawa harum nama bangsa,
393,dea29808,@Nesyaagustin8 @puanmaharani_ri Timnas Indonesia terbaik,
394,SuminRemedy,@SeeunRemedy @YeonjunRemedy Puan Maharani.,
395,DedekIak,"@qaidu3 @puanmaharani_ri Timnas Indonesia bisa, timnas Indonesia juara, timnas Indonesia bawa harum nama bangsa, SEMANGAT",
396,JatengTV,(04) Pada PT Perorangan seluruh kendala dan resiko kerugian serta keuntungan akan dihadapi dan ditanggung oleh pemilik usaha itu sendiri. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZTPEG,"Semarang, Jawa Tengah"
397,DedekIak,@salmanbestu @puanmaharani_ri Iya Semoga saja Bu Puan capres RI 2024,
398,DedekIak,@PutraPujangga91 @puanmaharani_ri Semangat kita beri dukungan pada atlet-atlet muda Indonesia,
399,DedekIak,@Ernasusi13 @puanmaharani_ri Bukti nyata klu Ibu Puan selalu ikut partisipasi mendukung para generasi muda membawa harum nama bangsa,
400,dea29808,@salmanbestu @puanmaharani_ri Amiinkan yang kenceng,
401,DedekIak,@pusppitasari18 @puanmaharani_ri Aamiin semoga menang,
402,DedekIak,@BellaB6225355 @puanmaharani_ri Timnas Indonesia juara,
403,ZFArdR,"@ruhutsitompul Kok kerjaanmu serang Pak Anies terus Tak? Padahal semakin diserang, nama Pak Anies semakin melambung tinggi. Contoh lah PSI di 2019 kemarin malah nyungsep krn terlalu fokus serang Pak Anies.

Mana endorsemu buat bu @puanmaharani_ri yg berprestasi ini? Apa perlu dibantuin?👇

😂🤣 https://t.co/RA1XcI3GyA",
404,DedekIak,@PutraPujangga91 @puanmaharani_ri Semoga pas hari H nya semua berjalan lancar,
405,DedekIak,@dea29808 @puanmaharani_ri Teruslah bersemangat bawa harum nama bangsa,
406,dea29808,@pusppitasari18 @puanmaharani_ri InsyaAllah timnas Indonesia menang,
407,DedekIak,@puanmaharani_ri Semangat terus Timnas Indonesia U-20 bawa harum nama bangsa,
408,dea29808,@HasanLind2 @puanmaharani_ri Suport terus mbak puan,
409,NAsBtati,@lovelands_ @ChaUnk_VR1 @puanmaharani_ri Paling vocal itu bisa saja ngigau...,
410,BossToukeeIsa,@FirzaHusain @puanmaharani_ri @ganjarpranowo @erickthohir @prabowo Pada saatnya nanti semua akan memilih bpk erick tohir sbgai capresnya,Indonesia
411,AldainSatu,@viviyo17 @puanmaharani_ri Jangan bosan berbagi hal inspirasi,
412,AldainSatu,@qaidu3 @puanmaharani_ri Indonesia menjadi contoh negara yang akan berjaya,
413,AldainSatu,@Zia1111 @puanmaharani_ri Tetap juara dihati,
414,AyahKami3,@acikcika6 @puanmaharani_ri Iya pastinya,
415,AldainSatu,@HasanLind2 @puanmaharani_ri Pas itu yang mendukung,
416,AldainSatu,@AbdulSoleh_H @puanmaharani_ri Semangat mendukung Bu puan insyaAllah bisa,
417,AldainSatu,@NenesKanza @puanmaharani_ri Indonesia menjadi tuan rumah Tan the next Champions,
418,AyahKami3,@marufali6797 @puanmaharani_ri Timnas Indonesia juara,
419,dea29808,@puanmaharani_ri semangat terus atlet atlet muda Indonesia untuk berprestasi lebih tinggi ke tingkat dunia,
420,AldainSatu,@Putraahmad22 @puanmaharani_ri Perempuan hebat dan tangguh mirip sekali seperti kakek dan ibunya,
421,AyahKami3,@dita16577 @puanmaharani_ri Optimis timnas Indonesia juara,
422,AldainSatu,@Putraahmad22 @puanmaharani_ri Ibu puan pandai menyimpan memory,
423,AldainSatu,@Ernasusi13 @puanmaharani_ri Pastinya akan terus terkenang,
424,AldainSatu,@pusppitasari18 @puanmaharani_ri Indonesia menjadi arah akan dibawa kemana bola dunia FIFA u 20 next juara,
425,AldainSatu,@puanmaharani_ri Semangat bupuan untuk terus dukung Indonesia next juara .5 tahun lalu dan skg untuk 5 tahun yang akan datang ..😁😁,
426,AyahKami3,@ubinhasnanto1 @puanmaharani_ri @PDI_Perjuangan Ibu Puan Maharani capres RI 2024,
427,AyahKami3,@BellaB6225355 @puanmaharani_ri Salut sama timnas Indonesia,
428,dodiubay14,@puanmaharani_ri Nah ini calon saya,"Gunung Putri bogor , Indonesia"
429,AyahKami3,@ShofwanZuhri @puanmaharani_ri Iya beneran mantap,
430,AyahKami3,@jipanaraya @puanmaharani_ri Pastinya mantap,
431,dea29808,"@puanmaharani_ri mbak puan menghadiri sebuah final pertandingan sepakbola usia dini di malang,,Jawa Timur",
432,AyahKami3,@NinoWiyu @puanmaharani_ri Berjiwa kepedulian seperti ini la yang layak jadi pemimpin no. 1 di negara kita tercinta ini,
433,tempodotco,"RUU PPRT Mangkrak di Meja Puan Maharani, Koalisi Sipil: Sudah Disalip 10 Undang-Undang https://t.co/X9RfHNA3JH #TempoNasional",Indonesia
434,AyahKami3,@rafaanandaaa @puanmaharani_ri Selalu menyempatkan hadir sosok seperti ini yang cocok jadi pemimpin,
435,AyahKami3,@TominHino @puanmaharani_ri Tak ada yang berubah dari sosok Ibu Puan,
436,AyahKami3,@puanmaharani_ri juara juara pasti timnas Indonesia juara,
437,acikcika6,"@PdipSolid @puanmaharani_ri Walaupun fotonya jadul tapi Ibu Puan yang sekarang tetap sama tidak ada yang berubah, tetap cantik dan awet muda",Indonesia
438,acikcika6,@tri910721 @puanmaharani_ri Bersatu kita teguh,Indonesia
439,acikcika6,@Putraahmad22 @puanmaharani_ri Perempuan satu ini memang is the best love you Bu Puan Maharani,Indonesia
440,acikcika6,@PutraPujangga91 @puanmaharani_ri Support terus untuk timnas Indonesia,Indonesia
441,acikcika6,@fadilahmaad67 @puanmaharani_ri Tak kenal kata lelah untuk selalu memberikan dukungan kepada timnas Indonesia U-20,Indonesia
442,acikcika6,"@Ernasusi13 @puanmaharani_ri Selalu ada Bu Puan ditiap acara, salut buat Ibu",Indonesia
443,acikcika6,@NenesKanza @puanmaharani_ri InsyaAllah timnas Indonesia juaranya,Indonesia
444,acikcika6,@aL_moert @puanmaharani_ri Presiden RI 2024 yang layak Ibu Puan Maharani,Indonesia
445,AinurHamim,@CNNIndonesia Lha @puanmaharani_ri kapan diperkenalkan Pakdhe?,Indonesia Raya
446,acikcika6,@Nesyaagustin8 @puanmaharani_ri Lewat doa kami disini mendukung timnas Indonesia juara,Indonesia
447,acikcika6,@pusppitasari18 @puanmaharani_ri Indonesia jadi tuan rumah piala Dunia U-20 waaawww sekali,Indonesia
448,acikcika6,@puanmaharani_ri ayo timnas pasti bisa berikan yang terbaik untuk Indonesia,Indonesia
449,qaidu3,@viviyo17 @puanmaharani_ri Sempurna harus yakin timnas Indonesia juara,
450,qaidu3,@Zia1111 @puanmaharani_ri Pastinya selalu optimis untuk menang,
451,qaidu3,@PutraPujangga91 @puanmaharani_ri Kami berharap timnas Indonesia juara,
452,qaidu3,@AbdulSoleh_H @puanmaharani_ri Iya dong pastinya Bu Puan gitu,
453,qaidu3,@fadilahmaad67 @puanmaharani_ri Harus terus semangat pastinya,
454,qaidu3,@Ernasusi13 @puanmaharani_ri Selalu ada Bu Puan di setiap moment para generasi muda ikut andil mengharumkan nama bangsa,
455,marufali6797,@Hakimalahmad1 @puanmaharani_ri sukses Bu puan,
456,qaidu3,@NenesKanza @puanmaharani_ri Ikut merasa bangga Indonesia jadi tuan rumah,
457,qaidu3,@tri910721 @aL_moert @puanmaharani_ri InsyaAllah capres 2024 Ibu Puan Maharani,
458,devi_pray,"Saat artis hny dijadikan vote getter shg drh ""kuning"" mampu dimenangi ""merah"". Namun sang aktor tak dianggap sbg partner dlm bekerja. Hny sbg pemantes. Keluhan, kritiknya viral. Kredibilitas bupati dipertanyakan, mampukah bekerja u warga? @puanmaharani_ri  https://t.co/g8bY6i2T9v",Cinere
459,marufali6797,@Safitridede1 @puanmaharani_ri Bener banget,
460,qaidu3,@Nesyaagustin8 @puanmaharani_ri Pastinya kita dukung lewat doa,
461,marufali6797,@hambarokp @puanmaharani_ri Semoga kita semua diberika. Kesehatan amin yarobal alamin,
462,PUANnews,"#PBB: Kelompok Islam Ingin Puan-Yusril Duet di Pilpres 2024 - IDN Times 
#PuanMaharani

https://t.co/eUX0FbFswF","Gatakrejo, Nguter, Sukoharjo"
463,qaidu3,@pusppitasari18 @puanmaharani_ri Ku yakin timnas Indonesia juara,
464,qaidu3,"@puanmaharani_ri Satu kata untuk timnas Indonesia, JUARA!",
